name,code,side,title,rank_in_party,begin_date,end_date,memberId,congress
Committee on Small Business and Entrepreneurship,SSSB,null,null,4.0,2013-01-03,2015-01-03,P000603,113
Committee on Foreign Relations,SSFR,null,null,8.0,2013-01-03,2015-01-03,P000603,113
"Committee on Health, Education, Labor, and Pensions",SSHR,null,null,5.0,2013-01-03,2015-01-03,P000603,113
Committee on Homeland Security and Governmental Affairs,SSGA,null,null,5.0,2013-01-03,2015-01-03,P000603,113
Committee on Homeland Security and Governmental Affairs,SSGA,null,null,7.0,2011-02-04,2013-01-03,P000603,112
"Committee on Health, Education, Labor, and Pensions",SSHR,null,null,5.0,2011-02-04,2013-01-03,P000603,112
Committee on Small Business and Entrepreneurship,SSSB,null,null,5.0,2011-02-04,2013-01-03,P000603,112
Committee on Energy and Natural Resources,SSEG,null,null,5.0,2011-02-04,2013-01-03,P000603,112
Committee on Homeland Security and Governmental Affairs,SSGA,majority,Chair,1.0,,2023-01-03,P000595,117
Committee on Armed Services,SSAS,majority,Member,9.0,,2023-01-03,P000595,117
"Committee on Commerce, Science, and Transportation",SSCM,majority,Member,6.0,,2023-01-03,P000595,117
Joint Economic Committee,JSEC,minority,Member,3.0,2019-01-09,2021-01-03,P000595,116
Committee on Homeland Security and Governmental Affairs,SSGA,minority,Ranking Member,1.0,2019-01-09,2021-01-03,P000595,116
"Committee on Commerce, Science, and Transportation",SSCM,minority,Member,7.0,2019-01-09,2021-01-03,P000595,116
Committee on Armed Services,SSAS,minority,Member,10.0,2019-01-09,2021-01-03,P000595,116
Joint Economic Committee,JSEC,minority,Member,null,2017-01-03,2019-01-03,P000595,115
Committee on Armed Services,SSAS,minority,Member,13.0,2017-01-03,2019-01-03,P000595,115
"Committee on Commerce, Science, and Transportation",SSCM,minority,Member,9.0,2017-01-03,2019-01-03,P000595,115
Committee on Homeland Security and Governmental Affairs,SSGA,minority,Member,5.0,2017-01-03,2019-01-03,P000595,115
Joint Economic Committee,JSEC,null,null,null,,2017-01-03,P000595,114
"Committee on Commerce, Science, and Transportation",SSCM,null,null,null,,2017-01-03,P000595,114
Committee on Homeland Security and Governmental Affairs,SSGA,null,null,null,,2017-01-03,P000595,114
Committee on Small Business and Entrepreneurship,SSSB,null,null,null,,2017-01-03,P000595,114
Committee on Financial Services,HSBA,null,null,18.0,2013-01-03,2015-01-03,P000595,113
Committee on Small Business,HSSM,null,null,9.0,2011-01-26,2013-01-03,P000595,112
Committee on Financial Services,HSBA,null,null,26.0,2011-01-19,2013-01-03,P000595,112
"Committee on Science, Space, and Technology",HSSY,null,null,27.0,2009-01-21,2011-01-03,P000595,111
Committee on Financial Services,HSBA,null,null,41.0,2009-01-07,2011-01-03,P000595,111
Committee on Foreign Relations,SSFR,minority,Member,5.0,,2023-01-03,P000449,117
Committee on Homeland Security and Governmental Affairs,SSGA,minority,Ranking Member,1.0,,2023-01-03,P000449,117
Joint Economic Committee,JSEC,minority,Member,3.0,,2023-01-03,P000449,117
Committee on Finance,SSFI,minority,Member,6.0,,2023-01-03,P000449,117
Committee on Foreign Relations,SSFR,majority,Member,9.0,2019-01-09,2021-01-03,P000449,116
Joint Economic Committee,JSEC,majority,Member,4.0,2019-01-09,2021-01-03,P000449,116
Committee on Homeland Security and Governmental Affairs,SSGA,majority,Member,2.0,2019-01-09,2021-01-03,P000449,116
Committee on Finance,SSFI,majority,Member,9.0,2019-01-09,2021-01-03,P000449,116
Joint Economic Committee,JSEC,majority,Member,null,2017-01-03,2019-01-03,P000449,115
Committee on Energy and Natural Resources,SSEG,majority,Member,11.0,2017-01-03,2019-01-03,P000449,115
Committee on Finance,SSFI,majority,Member,10.0,2017-01-03,2019-01-03,P000449,115
Committee on Foreign Relations,SSFR,majority,Member,10.0,2017-01-03,2019-01-03,P000449,115
Committee on Homeland Security and Governmental Affairs,SSGA,majority,Member,3.0,2017-01-03,2019-01-03,P000449,115
Committee on Energy and Natural Resources,SSEG,null,null,null,,2017-01-03,P000449,114
Committee on Finance,SSFI,null,null,null,,2017-01-03,P000449,114
Committee on Homeland Security and Governmental Affairs,SSGA,null,null,null,,2017-01-03,P000449,114
Committee on the Budget,SSBU,null,null,null,,2017-01-03,P000449,114
Committee on Finance,SSFI,null,null,10.0,2013-01-03,2015-01-03,P000449,113
Committee on the Budget,SSBU,null,null,6.0,2013-01-03,2015-01-03,P000449,113
Committee on Energy and Natural Resources,SSEG,null,null,9.0,2013-01-03,2015-01-03,P000449,113
Committee on Homeland Security and Governmental Affairs,SSGA,null,null,4.0,2013-01-03,2015-01-03,P000449,113
Committee on Armed Services,SSAS,majority,Chair,1.0,,2023-01-03,R000122,117
"Committee on Banking, Housing, and Urban Affairs",SSBK,majority,Member,2.0,,2023-01-03,R000122,117
Committee on Appropriations,SSAP,majority,Member,5.0,,2023-01-03,R000122,117
Select Committee on Intelligence,SLIN,majority,Member,9.0,,2023-01-03,R000122,117
"Committee on Banking, Housing, and Urban Affairs",SSBK,minority,Member,2.0,2019-01-09,2021-01-03,R000122,116
Select Committee on Intelligence,SLIN,minority,Member,9.0,2019-01-09,2021-01-03,R000122,116
Committee on Armed Services,SSAS,minority,Ranking Member,1.0,2019-01-09,2021-01-03,R000122,116
Committee on Appropriations,SSAP,minority,Member,5.0,2019-01-09,2021-01-03,R000122,116
Select Committee on Intelligence,SLIN,minority,Member,null,2017-01-03,2019-01-03,R000122,115
Committee on Appropriations,SSAP,minority,Member,5.0,2017-01-03,2019-01-03,R000122,115
Committee on Armed Services,SSAS,minority,Ranking Member,1.0,2017-01-03,2019-01-03,R000122,115
"Committee on Banking, Housing, and Urban Affairs",SSBK,minority,Member,2.0,2017-01-03,2019-01-03,R000122,115
Committee on Appropriations,SSAP,null,null,null,,2017-01-03,R000122,114
"Committee on Banking, Housing, and Urban Affairs",SSBK,null,null,null,,2017-01-03,R000122,114
Committee on Armed Services,SSAS,null,null,1.0,,2017-01-03,R000122,114
Select Committee on Intelligence,SLIN,null,null,null,,2017-01-03,R000122,114
Committee on Armed Services,SSAS,null,null,2.0,2013-01-03,2015-01-03,R000122,113
"Committee on Banking, Housing, and Urban Affairs",SSBK,null,null,2.0,2013-01-03,2015-01-03,R000122,113
Committee on Appropriations,SSAP,null,null,9.0,2013-01-03,2015-01-03,R000122,113
Committee on Appropriations,SSAP,null,null,12.0,2009-01-21,2011-01-03,R000122,111
Committee on Armed Services,SSAS,null,null,3.0,2009-01-21,2011-01-03,R000122,111
"Committee on Banking, Housing, and Urban Affairs",SSBK,null,null,3.0,2009-01-21,2011-01-03,R000122,111
"Committee on Health, Education, Labor, and Pensions",SSHR,null,null,6.0,2009-01-21,2011-01-03,R000122,111
Committee on Appropriations,SSAP,null,null,13.0,2007-01-12,2009-01-03,R000122,110
Committee on Armed Services,SSAS,null,null,5.0,2007-01-12,2009-01-03,R000122,110
"Committee on Banking, Housing, and Urban Affairs",SSBK,null,null,3.0,2007-01-12,2009-01-03,R000122,110
"Committee on Health, Education, Labor, and Pensions",SSHR,null,null,7.0,2007-01-12,2009-01-03,R000122,110
Committee on Small Business and Entrepreneurship,SSSB,minority,Member,3.0,,2023-01-03,R000584,117
Committee on Energy and Natural Resources,SSEG,minority,Member,2.0,,2023-01-03,R000584,117
Select Committee on Ethics,SLET,minority,Member,2.0,,2023-01-03,R000584,117
Select Committee on Intelligence,SLIN,minority,Member,3.0,,2023-01-03,R000584,117
United States Caucus on International Narcotics Control,SCNC,minority,Member,3.0,,2023-01-03,R000584,117
Committee on Foreign Relations,SSFR,minority,Ranking Member,1.0,,2023-01-03,R000584,117
Committee on Energy and Natural Resources,SSEG,majority,Member,3.0,2019-01-09,2021-01-03,R000584,116
Committee on Foreign Relations,SSFR,majority,Chair,1.0,2019-01-09,2021-01-03,R000584,116
Select Committee on Ethics,SLET,majority,Member,3.0,2019-01-09,2021-01-03,R000584,116
Committee on Small Business and Entrepreneurship,SSSB,majority,Member,2.0,2019-01-09,2021-01-03,R000584,116
Select Committee on Intelligence,SLIN,majority,Member,2.0,2019-01-09,2021-01-03,R000584,116
United States Caucus on International Narcotics Control,SCNC,majority,Member,3.0,,2021-01-03,R000584,116
United States Caucus on International Narcotics Control,SCNC,majority,Member,3.0,2017-01-03,2019-01-03,R000584,115
Select Committee on Ethics,SLET,majority,Member,3.0,2017-01-03,2019-01-03,R000584,115
Select Committee on Intelligence,SLIN,majority,Member,2.0,2017-01-03,2019-01-03,R000584,115
Committee on Energy and Natural Resources,SSEG,majority,Member,3.0,2017-01-03,2019-01-03,R000584,115
Committee on Foreign Relations,SSFR,majority,Member,2.0,2017-01-03,2019-01-03,R000584,115
Committee on Small Business and Entrepreneurship,SSSB,majority,Chair,1.0,2017-01-03,2019-01-03,R000584,115
United States Caucus on International Narcotics Control,SCNC,null,null,null,,2017-01-03,R000584,114
Committee on Foreign Relations,SSFR,null,null,null,,2017-01-03,R000584,114
Committee on Energy and Natural Resources,SSEG,null,null,null,,2017-01-03,R000584,114
Committee on Small Business and Entrepreneurship,SSSB,null,null,null,,2017-01-03,R000584,114
Select Committee on Ethics,SLET,null,null,null,,2017-01-03,R000584,114
Select Committee on Intelligence,SLIN,null,null,null,,2017-01-03,R000584,114
Committee on Small Business and Entrepreneurship,SSSB,null,null,1.0,2013-01-03,2015-01-03,R000584,113
Committee on Foreign Relations,SSFR,null,null,2.0,2013-01-03,2015-01-03,R000584,113
Committee on Energy and Natural Resources,SSEG,null,null,3.0,2013-01-03,2015-01-03,R000584,113
Select Committee on Ethics,SLET,null,null,3.0,2013-01-03,2015-01-03,R000584,113
Select Committee on Intelligence,SLIN,null,null,3.0,2013-01-03,2015-01-03,R000584,113
Select Committee on Ethics,SLET,null,null,3.0,2011-01-05,2013-01-03,R000584,112
Select Committee on Intelligence,SLIN,null,null,4.0,2011-01-05,2013-01-03,R000584,112
Committee on Energy and Natural Resources,SSEG,null,null,3.0,2011-01-05,2013-01-03,R000584,112
Committee on Foreign Relations,SSFR,null,null,3.0,2011-01-05,2013-01-03,R000584,112
Committee on Small Business and Entrepreneurship,SSSB,null,null,3.0,2011-01-05,2013-01-03,R000584,112
Committee on Energy and Natural Resources,SSEG,null,null,5.0,2009-01-21,2011-01-03,R000584,111
Committee on Foreign Relations,SSFR,null,null,5.0,2009-01-21,2011-01-03,R000584,111
Select Committee on Ethics,SLET,null,null,3.0,2009-01-21,2011-01-03,R000584,111
Select Committee on Intelligence,SLIN,null,null,7.0,2009-01-21,2011-01-03,R000584,111
Joint Economic Committee,JSEC,null,null,3.0,2009-01-21,2011-01-03,R000584,111
Committee on Foreign Relations,SSFR,minority,Member,4.0,,2023-01-03,R000615,117
"Committee on Health, Education, Labor, and Pensions",SSHR,minority,Member,9.0,,2023-01-03,R000615,117
Committee on Homeland Security and Governmental Affairs,SSGA,minority,Member,5.0,,2023-01-03,R000615,117
Committee on the Budget,SSBU,minority,Member,9.0,,2023-01-03,R000615,117
Committee on Foreign Relations,SSFR,majority,Member,5.0,2019-01-09,2021-01-03,R000615,116
Committee on Small Business and Entrepreneurship,SSSB,majority,Member,9.0,2019-01-09,2021-01-03,R000615,116
Committee on Homeland Security and Governmental Affairs,SSGA,majority,Member,5.0,2019-01-09,2021-01-03,R000615,116
"Committee on Health, Education, Labor, and Pensions",SSHR,majority,Member,11.0,2019-01-09,2021-01-03,R000615,116
"Committee on Health, Education, Labor, and Pensions",SSHR,majority,Member,9.0,,2023-01-03,R000608,117
Committee on Homeland Security and Governmental Affairs,SSGA,majority,Member,5.0,,2023-01-03,R000608,117
Committee on Armed Services,SSAS,majority,Member,12.0,,2023-01-03,R000608,117
Committee on Small Business and Entrepreneurship,SSSB,majority,Member,9.0,,2023-01-03,R000608,117
"Committee on Commerce, Science, and Transportation",SSCM,majority,Member,11.0,,2023-01-03,R000608,117
Special Committee on Aging,SPAG,majority,Member,5.0,,2023-01-03,R000608,117
United States Caucus on International Narcotics Control,SCNC,majority,Member,3.0,,2023-01-03,R000608,117
Committee on Small Business and Entrepreneurship,SSSB,minority,Member,9.0,2019-01-09,2021-01-03,R000608,116
Special Committee on Aging,SPAG,minority,Member,7.0,2019-01-09,2021-01-03,R000608,116
Committee on Homeland Security and Governmental Affairs,SSGA,minority,Member,6.0,2019-01-09,2021-01-03,R000608,116
"Committee on Commerce, Science, and Transportation",SSCM,minority,Member,12.0,2019-01-09,2021-01-03,R000608,116
"Committee on Health, Education, Labor, and Pensions",SSHR,minority,Member,11.0,2019-01-09,2021-01-03,R000608,116
United States Caucus on International Narcotics Control,SCNC,minority,Member,3.0,,2021-01-03,R000608,116
Committee on Armed Services,HSAS,minority,Member,20.0,,2019-01-03,R000608,115
"Committee on Science, Space, and Technology",HSSY,minority,Member,9.0,,2019-01-03,R000608,115
Committee on Foreign Relations,SSFR,minority,Member,10.0,,2023-01-03,R000605,117
Committee on Indian Affairs,SLIA,minority,Member,5.0,,2023-01-03,R000605,117
Committee on Armed Services,SSAS,minority,Member,5.0,,2023-01-03,R000605,117
"Committee on Banking, Housing, and Urban Affairs",SSBK,minority,Member,5.0,,2023-01-03,R000605,117
Committee on Veterans' Affairs,SSVA,minority,Member,4.0,,2023-01-03,R000605,117
"Committee on Banking, Housing, and Urban Affairs",SSBK,majority,Member,7.0,2019-01-09,2021-01-03,R000605,116
Committee on Environment and Public Works,SSEV,majority,Member,6.0,2019-01-09,2021-01-03,R000605,116
Committee on Veterans' Affairs,SSVA,majority,Member,5.0,2019-01-09,2021-01-03,R000605,116
Committee on Armed Services,SSAS,majority,Member,5.0,2019-01-09,2021-01-03,R000605,116
Committee on Armed Services,SSAS,majority,Member,5.0,2017-01-03,2019-01-03,R000605,115
"Committee on Banking, Housing, and Urban Affairs",SSBK,majority,Member,9.0,2017-01-03,2019-01-03,R000605,115
Committee on Environment and Public Works,SSEV,majority,Member,8.0,2017-01-03,2019-01-03,R000605,115
Committee on Small Business and Entrepreneurship,SSSB,majority,Member,9.0,2017-01-03,2019-01-03,R000605,115
Committee on Veterans' Affairs,SSVA,majority,Member,6.0,2017-01-03,2019-01-03,R000605,115
"Committee on Banking, Housing, and Urban Affairs",SSBK,null,null,null,,2017-01-03,R000605,114
Committee on Environment and Public Works,SSEV,null,null,null,,2017-01-03,R000605,114
Committee on Veterans' Affairs,SSVA,null,null,null,,2017-01-03,R000605,114
Committee on Armed Services,SSAS,null,null,null,,2017-01-03,R000605,114
Commission on Security and Cooperation in Europe,JCSE,minority,Member,3.0,,2023-01-03,R000595,117
Committee on Small Business and Entrepreneurship,SSSB,minority,Member,2.0,,2023-01-03,R000595,117
Committee on Appropriations,SSAP,minority,Member,15.0,,2023-01-03,R000595,117
Select Committee on Intelligence,SLIN,minority,Ranking Member,1.0,,2023-01-03,R000595,117
Special Committee on Aging,SPAG,minority,Member,4.0,,2023-01-03,R000595,117
Committee on Foreign Relations,SSFR,minority,Member,2.0,,2023-01-03,R000595,117
Committee on Foreign Relations,SSFR,majority,Member,2.0,2019-01-09,2021-01-03,R000595,116
Committee on Small Business and Entrepreneurship,SSSB,majority,Chair,1.0,2019-01-09,2021-01-03,R000595,116
Select Committee on Intelligence,SLIN,majority,Member,3.0,2019-01-09,2021-01-03,R000595,116
Special Committee on Aging,SPAG,majority,Member,5.0,2019-01-09,2021-01-03,R000595,116
Committee on Appropriations,SSAP,majority,Member,15.0,2019-01-09,2021-01-03,R000595,116
Commission on Security and Cooperation in Europe,JCSE,majority,Member,4.0,,2021-01-03,R000595,116
Commission on Security and Cooperation in Europe,JCSE,majority,Member,3.0,2017-01-03,2019-01-03,R000595,115
Select Committee on Intelligence,SLIN,majority,Member,3.0,2017-01-03,2019-01-03,R000595,115
Special Committee on Aging,SPAG,majority,Member,8.0,2017-01-03,2019-01-03,R000595,115
Committee on Appropriations,SSAP,majority,Member,15.0,2017-01-03,2019-01-03,R000595,115
Committee on Foreign Relations,SSFR,majority,Member,3.0,2017-01-03,2019-01-03,R000595,115
Committee on Small Business and Entrepreneurship,SSSB,majority,Member,2.0,2017-01-03,2019-01-03,R000595,115
"Committee on Commerce, Science, and Transportation",SSCM,null,null,null,,2017-01-03,R000595,114
Committee on Foreign Relations,SSFR,null,null,null,,2017-01-03,R000595,114
Committee on Small Business and Entrepreneurship,SSSB,null,null,null,,2017-01-03,R000595,114
Select Committee on Intelligence,SLIN,null,null,null,,2017-01-03,R000595,114
"Committee on Commerce, Science, and Transportation",SSCM,null,null,4.0,2013-01-03,2015-01-03,R000595,113
Committee on Small Business and Entrepreneurship,SSSB,null,null,3.0,2013-01-03,2015-01-03,R000595,113
Committee on Foreign Relations,SSFR,null,null,3.0,2013-01-03,2015-01-03,R000595,113
Select Committee on Intelligence,SLIN,null,null,5.0,2013-01-03,2015-01-03,R000595,113
Select Committee on Intelligence,SLIN,null,null,7.0,2011-02-04,2013-01-03,R000595,112
"Committee on Commerce, Science, and Transportation",SSCM,null,null,10.0,2011-02-04,2013-01-03,R000595,112
Committee on Foreign Relations,SSFR,null,null,4.0,2011-02-04,2013-01-03,R000595,112
Committee on Small Business and Entrepreneurship,SSSB,null,null,4.0,2011-02-04,2013-01-03,R000595,112
"Committee on Health, Education, Labor, and Pensions",SSHR,majority,Member,2.0,,2023-01-03,S000033,117
Committee on the Budget,SSBU,majority,Chair,1.0,,2023-01-03,S000033,117
Committee on Veterans' Affairs,SSVA,majority,Member,3.0,,2023-01-03,S000033,117
Committee on Energy and Natural Resources,SSEG,majority,Member,4.0,,2023-01-03,S000033,117
Committee on Environment and Public Works,SSEV,majority,Member,3.0,,2023-01-03,S000033,117
Committee on Energy and Natural Resources,SSEG,minority,Member,4.0,2019-01-09,2021-01-03,S000033,116
Committee on Environment and Public Works,SSEV,minority,Member,3.0,2019-01-09,2021-01-03,S000033,116
Committee on Veterans' Affairs,SSVA,minority,Member,3.0,2019-01-09,2021-01-03,S000033,116
Committee on the Budget,SSBU,minority,Ranking Member,1.0,2019-01-09,2021-01-03,S000033,116
"Committee on Health, Education, Labor, and Pensions",SSHR,minority,Member,2.0,2019-01-09,2021-01-03,S000033,116
Committee on the Budget,SSBU,minority,Ranking Member,1.0,2017-01-03,2019-01-03,S000033,115
Committee on Energy and Natural Resources,SSEG,minority,Member,3.0,2017-01-03,2019-01-03,S000033,115
Committee on Environment and Public Works,SSEV,minority,Member,3.0,2017-01-03,2019-01-03,S000033,115
"Committee on Health, Education, Labor, and Pensions",SSHR,minority,Member,2.0,2017-01-03,2019-01-03,S000033,115
Committee on Veterans' Affairs,SSVA,minority,Member,3.0,2017-01-03,2019-01-03,S000033,115
Committee on Environment and Public Works,SSEV,null,null,null,,2017-01-03,S000033,114
"Committee on Health, Education, Labor, and Pensions",SSHR,null,null,null,,2017-01-03,S000033,114
Committee on Veterans' Affairs,SSVA,null,null,null,,2017-01-03,S000033,114
Committee on Energy and Natural Resources,SSEG,null,null,null,,2017-01-03,S000033,114
Committee on the Budget,SSBU,null,null,1.0,,2017-01-03,S000033,114
Joint Economic Committee,JSEC,null,null,4.0,2013-01-24,2015-01-03,S000033,113
Committee on the Budget,SSBU,null,null,5.0,2013-01-03,2015-01-03,S000033,113
Committee on Energy and Natural Resources,SSEG,null,null,5.0,2013-01-03,2015-01-03,S000033,113
Committee on Veterans' Affairs,SSVA,null,null,1.0,2013-01-03,2015-01-03,S000033,113
"Committee on Health, Education, Labor, and Pensions",SSHR,null,null,4.0,2013-01-03,2015-01-03,S000033,113
Committee on Environment and Public Works,SSEV,null,null,5.0,2013-01-03,2015-01-03,S000033,113
Committee on Veterans' Affairs,SSVA,null,null,4.0,2009-01-21,2011-01-03,S000033,111
Committee on the Budget,SSBU,null,null,8.0,2009-01-21,2011-01-03,S000033,111
Committee on Energy and Natural Resources,SSEG,null,null,9.0,2009-01-21,2011-01-03,S000033,111
Committee on Environment and Public Works,SSEV,null,null,6.0,2009-01-21,2011-01-03,S000033,111
"Committee on Health, Education, Labor, and Pensions",SSHR,null,null,7.0,2009-01-21,2011-01-03,S000033,111
Committee on the Budget,SSBU,null,null,11.0,2007-01-12,2009-01-03,S000033,110
Committee on Energy and Natural Resources,SSEG,null,null,11.0,2007-01-12,2009-01-03,S000033,110
Committee on Environment and Public Works,SSEV,null,null,8.0,2007-01-12,2009-01-03,S000033,110
"Committee on Health, Education, Labor, and Pensions",SSHR,null,null,10.0,2007-01-12,2009-01-03,S000033,110
Committee on Veterans' Affairs,SSVA,null,null,5.0,2007-01-12,2009-01-03,S000033,110
Committee on the Budget,SSBU,minority,Member,8.0,,2023-01-03,S001197,117
Committee on the Judiciary,SSJU,minority,Member,6.0,,2023-01-03,S001197,117
Select Committee on Intelligence,SLIN,minority,Member,8.0,,2023-01-03,S001197,117
Committee on Finance,SSFI,minority,Member,13.0,,2023-01-03,S001197,117
Committee on the Judiciary,SSJU,majority,Member,6.0,2019-01-09,2021-01-03,S001197,116
"Committee on Banking, Housing, and Urban Affairs",SSBK,majority,Member,5.0,2019-01-09,2021-01-03,S001197,116
Joint Economic Committee,JSEC,majority,Member,3.0,2019-01-09,2021-01-03,S001197,116
Select Committee on Intelligence,SLIN,majority,Member,8.0,2019-01-09,2021-01-03,S001197,116
Joint Economic Committee,JSEC,majority,Member,null,2017-01-03,2019-01-03,S001197,115
Committee on Armed Services,SSAS,majority,Member,12.0,2017-01-03,2019-01-03,S001197,115
"Committee on Banking, Housing, and Urban Affairs",SSBK,majority,Member,7.0,2017-01-03,2019-01-03,S001197,115
Committee on the Judiciary,SSJU,majority,Member,7.0,2017-01-03,2019-01-03,S001197,115
Joint Economic Committee,JSEC,null,null,null,,2017-01-03,S001197,114
Special Committee on Aging,SPAG,null,null,null,,2017-01-03,S001197,114
"Committee on Banking, Housing, and Urban Affairs",SSBK,null,null,null,,2017-01-03,S001197,114
Committee on Homeland Security and Governmental Affairs,SSGA,null,null,null,,2017-01-03,S001197,114
"Committee on Agriculture, Nutrition, and Forestry",SSAF,null,null,null,,2017-01-03,S001197,114
Committee on Indian Affairs,SLIA,majority,Chair,1.0,,2023-01-03,S001194,117
Committee on Appropriations,SSAP,majority,Member,10.0,,2023-01-03,S001194,117
"Committee on Commerce, Science, and Transportation",SSCM,majority,Member,4.0,,2023-01-03,S001194,117
Select Committee on Ethics,SLET,majority,Member,2.0,,2023-01-03,S001194,117
Committee on Foreign Relations,SSFR,majority,Member,10.0,,2023-01-03,S001194,117
"Committee on Banking, Housing, and Urban Affairs",SSBK,minority,Member,7.0,2019-01-09,2021-01-03,S001194,116
Select Committee on Ethics,SLET,minority,Member,2.0,2019-01-09,2021-01-03,S001194,116
Committee on Indian Affairs,SLIA,minority,Member,4.0,2019-01-09,2021-01-03,S001194,116
"Committee on Commerce, Science, and Transportation",SSCM,minority,Member,4.0,2019-01-09,2021-01-03,S001194,116
Committee on Appropriations,SSAP,minority,Member,11.0,2019-01-09,2021-01-03,S001194,116
Select Committee on Ethics,SLET,minority,Member,2.0,2017-01-03,2019-01-03,S001194,115
Committee on Indian Affairs,SLIA,minority,Member,5.0,2017-01-03,2019-01-03,S001194,115
Committee on Appropriations,SSAP,minority,Member,11.0,2017-01-03,2019-01-03,S001194,115
"Committee on Banking, Housing, and Urban Affairs",SSBK,minority,Member,9.0,2017-01-03,2019-01-03,S001194,115
"Committee on Commerce, Science, and Transportation",SSCM,minority,Member,5.0,2017-01-03,2019-01-03,S001194,115
Committee on Indian Affairs,SLIA,null,null,null,,2017-01-03,S001194,114
Committee on Appropriations,SSAP,null,null,null,,2017-01-03,S001194,114
"Committee on Commerce, Science, and Transportation",SSCM,null,null,null,,2017-01-03,S001194,114
Select Committee on Ethics,SLET,null,null,null,,2017-01-03,S001194,114
Committee on Indian Affairs,SLIA,null,null,7.0,2013-01-03,2015-01-03,S001194,113
"Committee on Commerce, Science, and Transportation",SSCM,null,null,12.0,2013-01-03,2015-01-03,S001194,113
Committee on Energy and Natural Resources,SSEG,null,null,11.0,2013-01-03,2015-01-03,S001194,113
Committee on Rules and Administration,SSRA,majority,Member,3.0,,2023-01-03,S000148,117
Select Committee on Intelligence,SLIN,majority,Member,10.0,,2023-01-03,S000148,117
Committee on Rules and Administration,SSRA,minority,Member,3.0,2019-01-09,2021-01-03,S000148,116
Select Committee on Intelligence,SLIN,minority,Member,8.0,2019-01-09,2021-01-03,S000148,116
Select Committee on Intelligence,SLIN,minority,Member,null,2017-01-03,2019-01-03,S000148,115
Committee on Rules and Administration,SSRA,minority,Member,3.0,2017-01-03,2019-01-03,S000148,115
Joint Committee on Printing,JSPR,null,null,null,,2017-01-03,S000148,114
United States Caucus on International Narcotics Control,SCNC,null,null,null,,2017-01-03,S000148,114
"Committee on Banking, Housing, and Urban Affairs",SSBK,null,null,null,,2017-01-03,S000148,114
Committee on Rules and Administration,SSRA,null,null,1.0,,2017-01-03,S000148,114
Committee on Finance,SSFI,null,null,null,,2017-01-03,S000148,114
Committee on the Judiciary,SSJU,null,null,null,,2017-01-03,S000148,114
Joint Committee on the Library,JSLC,null,null,null,,2017-01-03,S000148,114
Committee on Finance,SSFI,null,null,5.0,2013-01-03,2015-01-03,S000148,113
Committee on Rules and Administration,SSRA,null,null,1.0,2013-01-03,2015-01-03,S000148,113
Committee on the Judiciary,SSJU,null,null,3.0,2013-01-03,2015-01-03,S000148,113
"Committee on Banking, Housing, and Urban Affairs",SSBK,null,null,3.0,2013-01-03,2015-01-03,S000148,113
Joint Committee on Printing,JSPR,null,null,1.0,2009-04-03,2011-01-03,S000148,111
Joint Committee on the Library,JSLC,null,null,1.0,2009-04-03,2011-01-03,S000148,111
Joint Economic Committee,JSEC,null,null,1.0,2009-01-21,2011-01-03,S000148,111
"Committee on Banking, Housing, and Urban Affairs",SSBK,null,null,4.0,2009-01-21,2011-01-03,S000148,111
Committee on Finance,SSFI,null,null,8.0,2009-01-21,2011-01-03,S000148,111
Committee on the Judiciary,SSJU,null,null,5.0,2009-01-21,2011-01-03,S000148,111
Committee on Rules and Administration,SSRA,null,null,1.0,2009-01-21,2011-01-03,S000148,111
Joint Committee on the Library,JSLC,null,null,3.0,2007-03-26,2009-01-03,S000148,110
"Committee on Banking, Housing, and Urban Affairs",SSBK,null,null,4.0,2007-01-12,2009-01-03,S000148,110
Committee on Finance,SSFI,null,null,8.0,2007-01-12,2009-01-03,S000148,110
Committee on the Judiciary,SSJU,null,null,7.0,2007-01-12,2009-01-03,S000148,110
Committee on Rules and Administration,SSRA,null,null,5.0,2007-01-12,2009-01-03,S000148,110
Joint Economic Committee,JSEC,null,null,1.0,2007-01-12,2009-01-03,S000148,110
Committee on Homeland Security and Governmental Affairs,SSGA,minority,Member,6.0,,2023-01-03,S001217,117
Committee on Armed Services,SSAS,minority,Member,10.0,,2023-01-03,S001217,117
Committee on the Budget,SSBU,minority,Member,7.0,,2023-01-03,S001217,117
"Committee on Commerce, Science, and Transportation",SSCM,minority,Member,13.0,,2023-01-03,S001217,117
Special Committee on Aging,SPAG,minority,Member,6.0,,2023-01-03,S001217,117
Special Committee on Aging,SPAG,majority,Member,8.0,2019-01-09,2021-01-03,S001217,116
Committee on Homeland Security and Governmental Affairs,SSGA,majority,Member,6.0,2019-01-09,2021-01-03,S001217,116
Committee on the Budget,SSBU,majority,Member,9.0,2019-01-09,2021-01-03,S001217,116
"Committee on Commerce, Science, and Transportation",SSCM,majority,Member,14.0,2019-01-09,2021-01-03,S001217,116
Committee on Armed Services,SSAS,majority,Member,12.0,2019-01-09,2021-01-03,S001217,116
"Committee on Health, Education, Labor, and Pensions",SSHR,minority,Member,8.0,,2023-01-03,S001184,117
Committee on Small Business and Entrepreneurship,SSSB,minority,Member,4.0,,2023-01-03,S001184,117
"Committee on Banking, Housing, and Urban Affairs",SSBK,minority,Member,4.0,,2023-01-03,S001184,117
Committee on Finance,SSFI,minority,Member,8.0,,2023-01-03,S001184,117
